Name,Clean Sheets %
Václav Cerny
Pablo Sarabia
Silas Katompa Mvumpa
Karol Linetty
Koni De Winter
Jeffrey Schlupp
José Callejón
Lucas Hernández
Arnaud Kalimuendo
Johan Gastien
Florian Lejeune
Pablo Ibáñez
Ângelo
Suso
Nemanja Gudelj
Matteo Pessina
Marcos Acuña
Iliman Ndiaye
Julien Laporte
Takuma Asano
Jean-Daniel Akpa Akpro
Iker Muniain
Kevin Stöger
Senne Lynen
Mathías Olivera
Marco Brescianini
Takefusa Kubo
Kylian Mbappé
Moses Simon
Ibrahima Sissoko
Tommaso Augello
Loïc Négo
Bruno Guimarães
Dilane Bakwa
Charlie Taylor
Iván Alejo
Andrea Carboni
Johan Vásquez
Patric
Sofyan Amrabat
Razvan Marin
Manuel Riemann,0.121
Copete
Niklas Süle
Lennard Maloney
Ricard Sánchez
Moise Kean
Raúl García de Haro
Dominik Szoboszlai
Federico Bonazzoli
Ludovic Blas
Chancel Mbemba
Moritz Broschinski
Ricardo Rodríguez
Chukwubuikem Ikwuemesi
Mohamed Daramy
Sven Michel
Jordan Clark
Ross Barkley
Álvaro García
Benjamin Bourigeaud
Jon Guridi
Martín Payero
Marcin Bulka,0.5
Oleksandr Zinchenko
Guillermo Ochoa,0.048
Abakar Sylla
Josko Gvardiol
Victor Kristiansen
James Garner
Adam Hlozek
Gonzalo Melero
Angelo Stiller
Munir El Haddadi
Levi Colwill
Omar Marmoush
Pascal Stenzel
Jonathan David
Julian Weigl
Federico Dimarco
Felix Agu
Léo Leroy
Gonçalo Paciência
Ruben Aguilar
Carles Aleñá
Soungoutou Magassa
Anthony Losilla
Jonathan Burkardt
Florent Mollet
Martin Valjent
Abdel Abqar
Lukas Klostermann
Marc-André ter Stegen,0.536
Amari'i Bell
Antonee Robinson
Óscar Rodríguez
Emmanuel Gyasi
Ismaïla Sarr
Christian Nørgaard
Emmanuel Agbadou
Bartosz Bereszynski
Sander Berge
Jacob Bruun Larsen
Callum Hudson-Odoi
Pedro
Morten Frendrup
Arthur
Luca Netz
Phillipp Mwene
Jordan Siebatcheu
Vanderson
Christopher Jullien
Bart Verbruggen,0.19
Youri Tielemans
Emil Holm
Kobbie Mainoo
Eddie Nketiah
Gregor Kobel,0.259
Marvin Pieringer
Khvicha Kvaratskhelia
Anthony Elanga
Marco Reus
Christopher Opéri
Maxime Colin
Rasmus Højlund
Sergio Ruiz
Cole Palmer
Thomas Müller
Phillip Tietz
Josip Stanisic
Steffen Tigges
Benedict Hollerbach
Alphonse Areola,0.219
Orel Mangala
Jordy Makengo
Brajan Gruda
Arne Engels
Samuel Moutoussamy
Patrick Mainka
Ianis Hagi
Bartol Franjic
Sergio Herrera,0.313
Sardar Azmoun
Robert Lewandowski
Amine Gouiri
Kristoffer Ajer
Tommy Doyle
Divock Origi
Ethan Pinnock
Niels Nkounkou
João Gomes
José Gayà
Milan Badelj
Mads Roerslev
Ainsley Maitland-Niles
Bradley Barcola
Terem Moffi
Adam Lallana
Óscar De Marcos
Nabil Fekir
Xavi Simons
Nélson Semedo
Ismaël Doukouré
Eli Kroupi
Faride Alidou
Luka Jovic
Elijah Adebayo
Joakim Mæhle
Charalampos Lykogiannis
Pietro Terracciano,0.242
Alberto Grassi
Youssoufa Moukoko
Jake O'Brien
Fermín López
Robert Skov
Tosin Adarabioyo
Alex Král
Florian Sotoca
Morgan Gibbs-White
Walace
Frédéric Guilbert
Arthur Theate
Malo Gusto
Matty Cash
Ansgar Knauff
Bryan Cristante
David Pereira da Costa
Emre Can
Oliver Skipp
Daler Kuzyaev
Diogo Dalot
Maduka Okoye,0.238
Clinton Mata
Luca Pellegrini
Amine Adli
Nicolò Rovella
Becir Omeragic
Fabian Nürnberger
Thijs Dallinga
Djordje Petrovic,0.217
Manu Morlanes
Adrià Pedrosa
Khalil Fayad
Hans Hateboer
Mario Gila
Vanja Milinkovic-Savic,0.5
Leandro Paredes
Moi Gómez
Nathaniel Clyne
Francesco Gelli
Luis Díaz
Facundo Medina
Wojciech Szczesny,0.429
Beñat Prados
Henrikh Mkhitaryan
Noah Weißhaupt
Eric Choupo-Moting
Sergi Darder
Nicolò Casale
Miguel Gutiérrez
Jonathan Ikoné
Anthony Rouault
Jeremie Frimpong
Simon Kjær
Ivan Ilic
Jérémy Doku
Sergio Ramos
Beñat Turrientes
Daniel Boloca
Odsonne Édouard
Mika Mármol
Aïssa Laïdouni
James Tarkowski
Niklas Dorsch
Juan Jesus
Amadou Onana
Alexis Mac Allister
Tariq Lamptey
Mory Diaw,0.167
Kevin Mbabu
Memphis Depay
Diego Llorente
Largie Ramazani
Piotr Zielinski
Vinícius Júnior
Tomás Cvancara
Eren Dinkçi
Lorenzo Lucca
Cédric Zesiger
Kevin Paredes
Pau López,0.242
Felix Nmecha
Mateusz Wieteska
Thomas Thiesson Kristensen
Marius Bülter
Darlin Yongwa
Nico Williams
Kike Salas
Joshua Zirkzee
Simon Adingra
Marco Friedl
Samuel Chukwueze
Arouna Sangante
Dominic Solanke
Aitor Paredes
Rodri
Álvaro Morata
Alex Iwobi
Harry Wilson
Pablo Rosario
Héctor Bellerín
Douglas Luiz
Mathias Jensen
Lorenzo Pirola
Josué Casimir
Benjamin Lecomte,0.333
Danny Welbeck
Abde Rebbach
Pablo Torre
Léo Baptistão
Dani Rodríguez
Janis Blaswich,0.238
Lukasz Skorupski,0.406
Alessandro Vogliacco
Exequiel Palacios
Joshua Kimmich
Ousmane Dembélé
Cody Gakpo
Marcus Pedersen
Arthur Atta
Castello Lukeba
Emir Karic
Matías Vecino
Teden Mengi
Martin Ødegaard
Leroy Sané
Timothy Weah
André Silva
Yunis Abdelhamid
Stefan Posch
Giulio Maggiore
Ruan Tressoldi
Vitalii Mykolenko
Cheikh Sabaly
Kirian Rodríguez
Danilo dos Santos de Oliveira
Wesley Saïd
Axel Disasi
Harvey Barnes
Dani Olmo
Toni Lato
Mark Flekken,0.189
Bryan Zaragoza
Nedim Bajrami
Riccardo Calafiori
Íñigo Lekue
Gorka Guruzeta
Marshall Munetsi
Christian Mawissa
Elvis Rexhbeçaj
Kaoru Mitoma
Cyril Ngonge
Andreas Christensen
Tahith Chong
Edon Zhegrova
Neil El Aynaoui
Mateo Retegui
Alexander Sørloth
Reece Burke
Wout Weghorst
Joseph Okumu
Elia Caprile,0.217
Emiliano Martínez,0.265
Ilario Monterisi
Alex Scott
Abdoul Kader Bamba
Jhon Durán
Lamine Yamal
Moussa Niakhaté
Ivan Provedel,0.3
Ederson,0.394
Matej Maglica
Lautaro Martínez
Aleksandar Pavlovic
Jean-Kévin Duverne
Filip Kostic
Brendan Chardonnet
Lloyd Kelly
Óliver Torres
Jay Rodríguez
Armand Laurienté
Jhon Lucumí
Tomás Suslov
Edmond Tapsoba
Youssouf Ndayishimiye
Salih Özcan
Guglielmo Vicario,0.184
Giovanni Fabbian
Marin Pongracic
Nemanja Maksimovic
Ferran Torres
Danilo D'Ambrosio
Nikola Milenkovic
Marcus Rashford
Lucas Perrin
Destiny Udogie
Tom Cairney
William Saliba
Naouirou Ahamada
Rolando Mandragora
Kiko Femenía
Nahuel Tenaglia
Maxence Caqueret
Álex Moreno
Marius Wolf
Habib Keïta
Nayef Aguerd
Erhan Masovic
Jesús Areso
Ryan Gravenberch
Willi Orbán
Carlton Morris
Gabriel Gudmundsson
Jordan Pickford,0.342
Eberechi Eze
Sam Johnstone,0.3
Nehuén Pérez
Noni Madueke
Grischa Prömel
Grégoire Defrel
Jean-Charles Castelletto
Robert Navarro
Ernest Nuamah
Dwight McNeil
Youssef Maleh
Lucas Torró
Romain Faivre
Michael Gregoritsch
Elbasan Rashani
Martin Erlic
Logan Costa
Mohamed Bayo
Daley Blind
Neto,0.219
Gabriele Zappa
Fabian Schär
Fali Candé
Samuele Ricci
Christian Pulisic
David Raya,0.5
Scott McTominay
Brice Samba,0.424
Matthijs de Ligt
Alexander Isak
Diego Carlos
Valentín Carboni
Álex Suárez
Beto
Davie Selke
Takehiro Tomiyasu
Sandro Ramírez
Giacomo Bonaventura
Simone Romagnoli
Frank Onyeka
Harry Kane
Antonio Puertas
Omar Mascarell
Jude Bellingham
Serhou Guirassy
Enzo Fernández
Yuri Berchiche
Iñigo Martínez
Andros Townsend
Alex Berenguer
Dodi Lukébakio
Oliver McBurnie
Wataru Endo
Nicola Zalewski
Gabriel Strefezza
Amine Harit
Dan Burn
Son Heung-Min
Sergi Canós
Riccardo Orsolini
Jesús Vázquez
Pau Cubarsí
Aaron Wan-Bissaka
Zeki Amdouni
Ben Osborn
Anthony Caci
Victor Lindelöf
Arne Maier
Nikola Krstovic
Melvin Bard
Christopher Wooh
Brennan Johnson
Andreas Pereira
Justin Kluivert
Jackson Tchatchoua
Paulo Gazzaniga,0.316
Walid Cheddira
Paulo Dybala
Pervis Estupiñán
Aimar Oroz
Maximilian Mittelstädt
Marc Cardona
Patrick Osterhage
Kevin Strootman
Niclas Füllkrug
João Félix
Igor Zubeldia
Sergio Arribas
Dani Carvajal
Micky van de Ven
Dani Parejo
Antonio Sivera,0.294
Berat Djimsiti
Raheem Sterling
Jeff Chabot
Ben White
Vladimír Coufal
Carl Starfelt
Djené Dakonam
Federico Chiesa
Yan Couto
Artem Dovbyk
Danilho Doekhi
Sam Beukema
Ko Itakura
Jim Allevinah
Karim Onisiwo
Lorenzo Colombo
Roberto Pereyra
Iago
Marten de Roon
Hamari Traoré
Mathias Pereira Lage
Benjamin Sesko
Wladimiro Falcone,0.184
Alban Lafont,0.25
Jacob Murphy
Máximo Perrone
Sandi Lovric
Raúl Jiménez
Iván Martín
Jack Grealish
Noussair Mazraoui
Jordan Lotomba
Yangel Herrera
Nacho
Giovani Lo Celso
Krépin Diatta
Philip Billing
Kim Min-Jae
Wilfried Singo
Thomas Delaine
Ozan Kabak
Junior Mwanga
David López
Edimilson Fernandes
Rui Patrício,0.261
Álex Remiro,0.432
Arnaud Nordin
Michael Zetterer,0.222
Lewis Dunk
Luca Waldschmidt
Joris Chotard
Felix Uduokhai
Danny da Costa
Federico Valverde
Sergio Camello
Diego López
Alexis Claude-Maurice
Lucas Robertone
Ramon Terrats
Raphaël Guerreiro
Jeong Woo-Yeong
Marcos Senesi
Norman Theuerkauf
Wissam Ben Yedder
Alejandro Catena
Fran Pérez
Kiki Kouyaté
Samú Costa
Toni Kroos
Danilo Luiz da Silva
Leonardo Spinazzola
Richarlison
Sebastian Walukiewicz
Jonas Wind
Samuele Mulattieri
Jon Moncayola
Evan Ferguson
Alfonso Pedraza
Lee Jae-Sung
Danilo Pereira
Enzo Millot
Ismaily
Yoane Wissa
Michael Olise
Olivier Giroud
Calvin Bassey
Abdul Mumin
Ander Barrenetxea
Nicolas Jackson
Kingsley Ehizibue
Morgan Sanson
Joe Gomez
Kevin Sessa
Giacomo Raspadori
Joel Asoro
Jørgen Strand Larsen
Hugo Magnetti
Giangiacomo Magnani
Rodrigo Riquelme
Marco Carnesecchi,0.333
Eduardo Camavinga
Alberto Dossena
Joselu
Gianluca Mancini
Lovro Majer
Florian Pick
Mohamed Salah
Álex Sola
David Raum
Dion Beljo
Jaume Costa
Virgil van Dijk
Benjamin Henrichs
Vinicius Souza
Iza Carcelén
Mohammed Kudus
Pablo Maffeo
Ablie Jallow
Raúl García Escudero
Nick Woltemade
Matús Bero
Conor Gallagher
Yvon Mvogo,0.118
Kieran Tierney
Chadi Riad
Robin Le Normand
Max Wöber
Mário Rui
Leonardo Bittencourt
Ignasi Miquel
Joan González
Maghnes Akliouche
William Carvalho
Matteo Cancellieri
Habib Diarra
Anthony Lopes,0.29
Marvin Friedrich
Ante Budimir
José Luís Morales
Unai Gómez
Kevin Kampl
Giovanni Di Lorenzo
Ola Aina
Álex Baena
Noah Atubolu,0.294
Kristjan Asllani
Frank Magri
Maxence Lacroix
Yussuf Poulsen
Loïc Badé
Pol Lirola
Ermedin Demirovic
Javi Hernández
Jean-Clair Todibo
Savinho
Kacper Urbanski
Corentin Tolisso
Diogo Jota
Arnau Martínez
Keven Schlotterbeck
Omar Alderete
Conan Ledesma,0.265
Mikkel Kaufmann
Raúl Albiol
Ander Herrera
Ruben Loftus-Cheek
André Onana,0.237
Reda Khadra
Nikola Dovedan
Ander Guevara
Dusan Vlahovic
Iago Aspas
Abdoulaye Touré
Phil Foden
Kenny Lala
Tim Kleindienst
Issiaga Sylla
Darwin Núñez
José Sá,0.114
Jean-Ricner Bellegarde
Pedro Neto
Nicolas Pallois
Laurent Abergel
Ylber Ramadani
Steve Mandanda,0.206
Jaime Mata
Aurélio Buta
Lucas Paquetá
Jacopo Fazzini
Dany Mota
Oriol Romeu
Marc Roca
César Azpilicueta
Moisés Caicedo
Jonathan Bamba
Denzel Dumfries
Luis Sinisterra
Gonçalo Ramos
Frenkie de Jong
Miguel Rubio
Piero Hincapié
Yannick Gerhardt
Hassane Kamara
Lamine Camara
Umar Sadiq
Brais Méndez
Amadou Haidara
Kyle Walker
Tiago Tomás
Mathys Tel
Pierre-Emerick Aubameyang
Romain Perraud
Lassana Coulibaly
Étienne Youté
Norbert Gyömbér
Georges Mikautadze
Xaver Schlager
Festy Ebosele
Sergi Cardona
Kristian Thorstvedt
Théo Hernández
Julián Araujo
Gustav Isaksen
Gautier Lloris
Juan Cruz
Oihan Sancet
Jaka Bijol
Matheus Cunha
Florian Thauvin
Jérôme Roussillon
Yunus Musah
Cyle Larin
Cristian Cásseres
Taiwo Awoniyi
Lucas Vázquez
Atakan Karazor
Ivan Cavaleiro
Frank Anguissa
Alberto Moreno
Jessy Deminguet
Marco Richter
Deniz Undav
Andoni Gorosabel
Odilon Kossounou
Christian Groß
Marko Arnautovic
Ansu Fati
Federico Baschirotto
Jorge Cuenca
Cenk Özkacar
Unai Núñez
Warren Kamanzi
Antoine Makoumbou
Luis Rioja
Martin Dúbravka,0.217
Lucas Martínez Quarta
Jefferson Lerma
Roland Sallai
Alberto Moleiro
Kevin Trapp,0.219
Jonathan Tah
Emmanuel Sabbi
Remo Freuler
Hamza Rafia
Formose Mendy
Benno Schmitz
Josep Martínez,0.222
Bernd Leno,0.263
Carlos Benavídez
Mohamed Simakan
Keito Nakamura
Benito Ramírez
Victor Osimhen
Domagoj Bradaric
Jesper Lindstrøm
Loum Tchaouna
Evann Guessand
Sasa Lukic
Karim Adeyemi
Harry Maguire
Álex Pozo
Kike Pérez
Alfonso Espino
Robin Hack
M'Bala Nzola
Borja Mayoral
Nathan Tella
Antonio Candreva
Nathan Patterson
Dominic Calvert-Lewin
Juanmi Latasa
Pedro Pereira
Giorgi Mamardashvili,0.351
Edgar González
Amir Richardson
